accuracy,auprc,auroc,fn,fp,macro_f1,method,n,negative_count,negative_f1,negative_precision,negative_recall,positive_count,positive_f1,positive_precision,positive_recall,target,tn,tp
0.475,0.1617735340510697,0.7083333333333334,0,84,0.43204868154158216,nli_lexical_proxy,160,144,0.5882352941176471,1.0,0.4166666666666667,16,0.2758620689655173,0.16,1.0,evidence_binary,60,16
0.554140127388535,0.858278561282797,0.4029197080291971,54,16,0.4029769665362885,nli_lexical_proxy,157,20,0.10256410256410257,0.06896551724137931,0.2,137,0.7033898305084745,0.8383838383838383,0.6058394160583942,edit_validity_binary,4,83
0.825,0.7770553976666693,0.7724814063556457,25,3,0.7891169271323668,reverse_reconstruction,160,102,0.8761061946902654,0.7983870967741935,0.9705882352941176,58,0.7021276595744681,0.9166666666666666,0.5689655172413793,faithfulness_binary,99,33
0.8,0.8031919309462665,0.75927734375,30,2,0.7672727272727271,reverse_reconstruction,160,96,0.8545454545454544,0.7580645161290323,0.9791666666666666,64,0.6799999999999999,0.9444444444444444,0.53125,edit_alignment_binary,94,34
0.6625,0.1698089931247383,0.4281949934123847,20,34,0.4314293235061859,reverse_reconstruction,160,138,0.7938931297709925,0.8387096774193549,0.7536231884057971,22,0.06896551724137931,0.05555555555555555,0.09090909090909091,rule_correctness_binary,104,2
0.6875,0.08793484859022421,0.4136284722222222,15,35,0.42594718714121693,reverse_reconstruction,160,144,0.8134328358208954,0.8790322580645161,0.7569444444444444,16,0.03846153846153846,0.027777777777777776,0.0625,evidence_binary,109,1
0.3248407643312102,0.9067404672711358,0.5702554744525548,104,2,0.31862102849656077,reverse_reconstruction,157,20,0.2535211267605634,0.14754098360655737,0.9,137,0.38372093023255816,0.9428571428571428,0.24087591240875914,edit_validity_binary,18,33
0.7,0.5750710313534195,0.7200811359026369,12,36,0.6952380952380953,rule_evidence_verifier,160,102,0.7333333333333334,0.8461538461538461,0.6470588235294118,58,0.6571428571428573,0.5609756097560976,0.7931034482758621,faithfulness_binary,66,46
0.7375,0.6616778197406599,0.75,12,30,0.73547472838923,rule_evidence_verifier,160,96,0.7586206896551724,0.8461538461538461,0.6875,64,0.7123287671232876,0.6341463414634146,0.8125,edit_alignment_binary,66,52
0.6125,0.3536315399362881,0.7562582345191041,1,61,0.5584045584045585,rule_evidence_verifier,160,138,0.712962962962963,0.9871794871794872,0.5579710144927537,22,0.40384615384615385,0.25609756097560976,0.9545454545454546,rule_correctness_binary,77,21
0.55,0.16439206471032594,0.6666666666666666,3,69,0.47049089906232766,rule_evidence_verifier,160,144,0.6756756756756757,0.9615384615384616,0.5208333333333334,16,0.2653061224489796,0.15853658536585366,0.8125,evidence_binary,75,13
0.5477707006369427,0.9011915221242817,0.5914233576642336,64,7,0.47042614851061815,rule_evidence_verifier,157,20,0.26804123711340205,0.16883116883116883,0.65,137,0.6728110599078342,0.9125,0.5328467153284672,edit_validity_binary,13,73
0.7375,0.6323167544531513,0.6416497633536173,41,1,0.6376186367558239,structured_extraction,160,102,0.8278688524590163,0.7112676056338029,0.9901960784313726,58,0.44736842105263147,0.9444444444444444,0.29310344827586204,faithfulness_binary,101,17
0.7125,0.6767120583240087,0.640625,46,0,0.6228735396597663,structured_extraction,160,96,0.8067226890756303,0.676056338028169,1.0,64,0.43902439024390244,1.0,0.28125,edit_alignment_binary,96,18
