method,target,n,accuracy,macro_f1,auroc,auprc,positive_count,negative_count,positive_f1,negative_f1,tp,tn,fp,fn
local_llm_judge,edit_validity_binary,15,0.6,0.37500000000000006,0.34615384615384615,0.8100160523237446,13,2,0.7500000000000001,0.0,9,0,2,4
local_llm_judge,evidence_binary,15,0.3333333333333333,0.3055555555555556,0.6428571428571429,0.25,1,14,0.16666666666666669,0.4444444444444445,1,4,10,0
local_llm_judge,faithfulness_binary,15,0.5333333333333333,0.49760765550239233,0.5178571428571429,0.49718822843822846,8,7,0.631578947368421,0.36363636363636365,6,2,5,2
local_llm_judge,rule_correctness_binary,15,0.2,0.16666666666666666,0.10714285714285714,0.08333333333333333,1,14,0.0,0.3333333333333333,0,3,11,1
reverse_reconstruction,edit_alignment_binary,160,0.8,0.7672727272727271,0.75927734375,0.8031919309462665,64,96,0.6799999999999999,0.8545454545454544,34,94,2,30
reverse_reconstruction,edit_validity_binary,157,0.3248407643312102,0.31862102849656077,0.5702554744525548,0.9067404672711358,137,20,0.38372093023255816,0.2535211267605634,33,18,2,104
reverse_reconstruction,evidence_binary,160,0.6875,0.42594718714121693,0.4136284722222222,0.08793484859022421,16,144,0.03846153846153846,0.8134328358208954,1,109,35,15
reverse_reconstruction,faithfulness_binary,160,0.825,0.7891169271323668,0.7724814063556457,0.7770553976666693,58,102,0.7021276595744681,0.8761061946902654,33,99,3,25
reverse_reconstruction,rule_correctness_binary,160,0.6625,0.4314293235061859,0.4281949934123847,0.1698089931247383,22,138,0.06896551724137931,0.7938931297709925,2,104,34,20
rule_evidence_verifier,edit_alignment_binary,160,0.7375,0.73547472838923,0.75,0.6616778197406599,64,96,0.7123287671232876,0.7586206896551724,52,66,30,12
rule_evidence_verifier,edit_validity_binary,157,0.5477707006369427,0.47042614851061815,0.5914233576642336,0.9011915221242817,137,20,0.6728110599078342,0.26804123711340205,73,13,7,64
rule_evidence_verifier,evidence_binary,160,0.55,0.47049089906232766,0.6666666666666666,0.16439206471032594,16,144,0.2653061224489796,0.6756756756756757,13,75,69,3
rule_evidence_verifier,faithfulness_binary,160,0.7,0.6952380952380953,0.7200811359026369,0.5750710313534195,58,102,0.6571428571428573,0.7333333333333334,46,66,36,12
rule_evidence_verifier,rule_correctness_binary,160,0.6125,0.5584045584045585,0.7562582345191041,0.3536315399362881,22,138,0.40384615384615385,0.712962962962963,21,77,61,1
surface_leak_score,edit_alignment_binary,160,0.81875,0.7924030244731779,0.8225911458333334,0.8342065211318531,64,96,0.7184466019417476,0.8663594470046082,37,94,2,27
surface_leak_score,edit_validity_binary,157,0.3184713375796178,0.30939362795477904,0.5757299270072993,0.9061965447749013,137,20,0.38857142857142857,0.2302158273381295,34,16,4,103
surface_leak_score,evidence_binary,160,0.68125,0.4401372212692968,0.4344618055555556,0.08953709473310938,16,144,0.07272727272727274,0.8075471698113208,2,107,37,14
surface_leak_score,faithfulness_binary,160,0.83125,0.800286625676113,0.8198106828938472,0.8057753942121221,58,102,0.7216494845360825,0.8789237668161435,35,98,4,23
surface_leak_score,rule_correctness_binary,160,0.66875,0.463257168175201,0.502635046113307,0.18381700404564025,22,138,0.13114754098360654,0.7953667953667954,4,103,35,18
target_masked_score,edit_alignment_binary,160,0.8,0.7672727272727271,0.7582194010416666,0.8022301648477816,64,96,0.6799999999999999,0.8545454545454544,34,94,2,30
target_masked_score,edit_validity_binary,157,0.3248407643312102,0.31862102849656077,0.5655109489051094,0.8939108301027832,137,20,0.38372093023255816,0.2535211267605634,33,18,2,104
target_masked_score,evidence_binary,160,0.6875,0.42594718714121693,0.4090711805555556,0.08635656576194138,16,144,0.03846153846153846,0.8134328358208954,1,109,35,15
target_masked_score,faithfulness_binary,160,0.825,0.7891169271323668,0.7731575388776201,0.7860437909126717,58,102,0.7021276595744681,0.8761061946902654,33,99,3,25
target_masked_score,rule_correctness_binary,160,0.6625,0.4314293235061859,0.4268774703557312,0.16751330901087239,22,138,0.06896551724137931,0.7938931297709925,2,104,34,20
